index,title,platform,creator_name,creator_url,source_url,embed_url,thumbnail_url,github_url,categories,source_type,embed_status,publication_status,weight,collected_from,collected_category,collected_at,description,open_url,status,registered_project_id
1,Google Analytics Audience Overview,Looker Studio,Data Studio Team,http://datastudio.google.com/,https://datastudio.google.com/reporting/2a7058e9-eec1-4ec3-a300-ce3b4538ee04/page/tWDGB,,https://datastudio.google.com/reporting/2a7058e9-eec1-4ec3-a300-ce3b4538ee04/thumbnail?sz=w320-h240-p-k-nu,,Marketing Templates,curated,unverified,review,990000,https://datastudio.google.com/gallery?category=marketing,Marketing Templates,2026-08-11T11:14:31,Customize the classic Google Analytics audience overview report.,https://datastudio.google.com/open/2a7058e9-eec1-4ec3-a300-ce3b4538ee04,skipped_embed_access_disabled,
2,Google Analytics Acquisitions Overview,Looker Studio,Data Studio Team,http://datastudio.google.com/,https://datastudio.google.com/reporting/e07ba956-b3ae-4f42-a69f-9a30e4023632/page/nXDGB,,https://datastudio.google.com/reporting/e07ba956-b3ae-4f42-a69f-9a30e4023632/thumbnail?sz=w320-h240-p-k-nu,,Marketing Templates,curated,unverified,review,980000,https://datastudio.google.com/gallery?category=marketing,Marketing Templates,2026-08-11T11:14:45,Quickly see how users came to your website.,https://datastudio.google.com/open/e07ba956-b3ae-4f42-a69f-9a30e4023632,skipped_embed_access_disabled,
3,Google Analytics Behavior Overview,Looker Studio,Data Studio Team,http://datastudio.google.com/,https://datastudio.google.com/reporting/6af699aa-328a-49dd-b507-268fe82ad2a6/page/4VDGB,,https://datastudio.google.com/reporting/6af699aa-328a-49dd-b507-268fe82ad2a6/thumbnail?sz=w320-h240-p-k-nu,,Marketing Templates,curated,unverified,review,970000,https://datastudio.google.com/gallery?category=marketing,Marketing Templates,2026-08-11T11:14:57,View what users are doing on your website.,https://datastudio.google.com/open/6af699aa-328a-49dd-b507-268fe82ad2a6,skipped_embed_access_disabled,
8,User Persona Report,Looker Studio,Guto Martins,https://www.linkedin.com/in/joseaugustomartins/,https://datastudio.google.com/reporting/eb18fd1e-3f26-4076-80ec-6d978d99b284/page/65ES,,https://datastudio.google.com/reporting/eb18fd1e-3f26-4076-80ec-6d978d99b284/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,920000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:16:52,Datastudio makes the process of creating personas simple,https://datastudio.google.com/open/eb18fd1e-3f26-4076-80ec-6d978d99b284,skipped_embed_system_error,
9,Google Analytics Template,Looker Studio,Metricized,https://www.metricized.com/,https://datastudio.google.com/reporting/1d173114-b5e3-4f65-92ca-145dafe2b4c8/page/s8BlB,,https://datastudio.google.com/reporting/1d173114-b5e3-4f65-92ca-145dafe2b4c8/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,910000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:17:05,Make better digital marketing decisions with our Data Studio template for Universal Analytics.,https://datastudio.google.com/open/1d173114-b5e3-4f65-92ca-145dafe2b4c8,skipped_embed_system_error,
11,Simple SEO Report,Looker Studio,Minty Digital,http://mintydigital.com/,https://datastudio.google.com/reporting/065c0dbb-b9ed-44ab-9c85-86160d417139/page/b18R,,https://datastudio.google.com/reporting/065c0dbb-b9ed-44ab-9c85-86160d417139/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,890000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:17:36,"Simple SEO dashboard displaying key metrics, ideal to share with clients.",https://datastudio.google.com/open/065c0dbb-b9ed-44ab-9c85-86160d417139,skipped_embed_access_disabled,
19,Snapchat Ads - Overview Dashboard,Looker Studio,Florent Dal Ben-Salles,https://www.linkedin.com/in/florentdalbensalles/,,,https://datastudio.google.com/reporting/baa65fb3-3d6d-4575-970e-cd2adee2a78e/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,810000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:19:23,"The Snapchat Ads dashboard to analyze your performance on your campaigns, ad groups and ads",https://datastudio.google.com/open/baa65fb3-3d6d-4575-970e-cd2adee2a78e,skipped_missing_report,
20,SEO Client Lead Gen Report,Looker Studio,Tate Lowry,https://ranq.io/,https://datastudio.google.com/reporting/5738135b-83a8-41e4-bc16-fdd6f6f0ce0e/page/VGwLB,,https://datastudio.google.com/reporting/5738135b-83a8-41e4-bc16-fdd6f6f0ce0e/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,800000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:19:29,SEO client dashboard with a focus on lead generation.,https://datastudio.google.com/open/5738135b-83a8-41e4-bc16-fdd6f6f0ce0e,skipped_embed_access_disabled,
21,Client Rollup Account,Looker Studio,Tate Lowry,https://tatelowry.com/,https://datastudio.google.com/reporting/2e348750-a90d-4b95-b510-c13418386c24/page/oiclB,,https://datastudio.google.com/reporting/2e348750-a90d-4b95-b510-c13418386c24/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,790000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:19:41,Internal client roll up dashboard for monitoring campaign performance.,https://datastudio.google.com/open/2e348750-a90d-4b95-b510-c13418386c24,skipped_embed_access_disabled,
27,📌 The Most Minimalist Dashboard,Looker Studio,Louis Dubruel,https://www.linkedin.com/in/louisdubruel/,https://datastudio.google.com/reporting/d81f1637-8ca5-407b-b6d2-076061d24fb0/page/mUOhB,,https://datastudio.google.com/reporting/d81f1637-8ca5-407b-b6d2-076061d24fb0/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,730000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:21:00,All about storytelling ! A minimalist dashboard to get the data in one glance,https://datastudio.google.com/open/d81f1637-8ca5-407b-b6d2-076061d24fb0,skipped_embed_access_disabled,
